1,"BANG",1,NULL,"2020-07-20 17:31:17",NULL,NULL
2,"BANGATA",1,NULL,"2020-07-20 17:31:17",NULL,NULL
3,"BWAWANI",1,NULL,"2020-07-20 17:31:17",NULL,NULL
4,"ENGUTOTO",1,NULL,"2020-07-20 17:31:17",NULL,NULL
5,"ILBORU",1,NULL,"2020-07-20 17:31:17",NULL,NULL
6,"ILKIDINGA",1,NULL,"2020-07-20 17:31:17",NULL,NULL
7,"ILKIDING'A",1,NULL,"2020-07-20 17:31:17",NULL,NULL
8,"KIMNYAK",1,NULL,"2020-07-20 17:31:17",NULL,NULL
9,"KIMNYAKI",1,NULL,"2020-07-20 17:31:17",NULL,NULL
10,"KIRANYI",1,NULL,"2020-07-20 17:31:17",NULL,NULL
11,"KISONGO",1,NULL,"2020-07-20 17:31:17",NULL,NULL
12,"KIUTU",1,NULL,"2020-07-20 17:31:17",NULL,NULL
13,"LAROI",1,NULL,"2020-07-20 17:31:17",NULL,NULL
14,"LEMANYATA",1,NULL,"2020-07-20 17:31:17",NULL,NULL
15,"MATEVES",1,NULL,"2020-07-20 17:31:17",NULL,NULL
16,"MLANGARINI",1,NULL,"2020-07-20 17:31:17",NULL,NULL
17,"MOIVO",1,NULL,"2020-07-20 17:31:17",NULL,NULL
18,"MUSA",1,NULL,"2020-07-20 17:31:17",NULL,NULL
19,"MWANDET",1,NULL,"2020-07-20 17:31:17",NULL,NULL
20,"MWANDETI",1,NULL,"2020-07-20 17:31:17",NULL,NULL
21,"NDURUMA",1,NULL,"2020-07-20 17:31:17",NULL,NULL
22,"OLDONYOSAMBU",1,NULL,"2020-07-20 17:31:17",NULL,NULL
23,"OLDONYOWAS",1,NULL,"2020-07-20 17:31:17",NULL,NULL
24,"OLDONYOWASS",1,NULL,"2020-07-20 17:31:17",NULL,NULL
25,"OLJORO",1,NULL,"2020-07-20 17:31:17",NULL,NULL
26,"OLKOKOLA",1,NULL,"2020-07-20 17:31:17",NULL,NULL
27,"OLMOTONYI",1,NULL,"2020-07-20 17:31:17",NULL,NULL
28,"OLORIEN",1,NULL,"2020-07-20 17:31:17",NULL,NULL
29,"OLTUROTO",1,NULL,"2020-07-20 17:31:17",NULL,NULL
30,"OLTURUMET",1,NULL,"2020-07-20 17:31:17",NULL,NULL
31,"SAMBASHA",1,NULL,"2020-07-20 17:31:17",NULL,NULL
32,"SOKON II",1,NULL,"2020-07-20 17:31:17",NULL,NULL
33,"TARAKWA",1,NULL,"2020-07-20 17:31:17",NULL,NULL
34,"BARAA",2,NULL,"2020-07-20 17:31:17",NULL,NULL
35,"DARAJA II",2,NULL,"2020-07-20 17:31:17",NULL,NULL
